year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-472006040.0,-0.0,0.0,0.0,-472006040.0
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-153923586.35391605,-0.0,0.0,0.0,-153923586.35391602
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-140635291.10391605,-0.0,0.0,0.0,-140635291.10391602
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-153923586.35391605,-0.0,0.0,0.0,-153923586.35391602
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-140635291.10391605,-0.0,0.0,0.0,-140635291.10391602
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-153923586.35391605,-0.0,0.0,0.0,-153923586.35391602
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-140635291.10391605,-0.0,0.0,0.0,-140635291.10391602
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-153923586.35391605,-0.0,0.0,0.0,-153923586.35391602
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-140635291.10391605,-0.0,0.0,0.0,-140635291.10391602
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-164990882.64188766,-0.0,0.0,0.0,-164990882.64188763
1998,2,-15515107.725758022,-0.0,0.0,0.0,-15515107.725758022
1998,3,-17339078.50591694,-0.0,0.0,0.0,-17339078.50591694
1998,4,-165690638.64872137,-0.0,0.0,0.0,-165690638.64872134
1998,5,-26805650.460266266,-0.0,0.0,0.0,-26805650.460266266
1998,6,-25852549.208375633,-0.0,0.0,0.0,-25852549.208375633
1998,7,-161603823.21978992,-0.0,0.0,0.0,-161603823.2197899
1998,8,-20967214.345886312,-0.0,0.0,0.0,-20967214.345886312
1998,9,-19888460.424843192,-0.0,0.0,0.0,-19888460.424843192
1998,10,-150173438.7187068,-0.0,0.0,0.0,-150173438.71870676
1998,11,-7371717.7397260275,-0.0,0.0,0.0,-7371717.7397260275
1998,12,-5415311.917808232,-0.0,0.0,0.0,-5415311.917808232
1999,1,-140635291.10391605,-0.0,0.0,0.0,-140635291.10391602
1999,2,0.0,0.0,0.0,0.0,0.0
1999,3,0.0,0.0,0.0,0.0,0.0
1999,4,-140635291.10391605,-0.0,0.0,0.0,-140635291.10391602
1999,5,0.0,0.0,0.0,0.0,0.0
1999,6,0.0,0.0,0.0,0.0,0.0
1999,7,-140635291.10391605,-0.0,0.0,0.0,-140635291.10391602
1999,8,0.0,0.0,0.0,0.0,0.0
1999,9,0.0,0.0,0.0,0.0,0.0
1999,10,-140635291.10391605,-0.0,0.0,0.0,-140635291.10391602
1999,11,0.0,0.0,0.0,0.0,0.0
1999,12,0.0,0.0,0.0,0.0,0.0
2000,1,0.0,-1001971.6922073737,397.8921253903297,39403257.17740435,38401285.48519698
2000,2,0.0,-8684462.545602445,347.9514303849959,34457630.151026145,25773167.6054237
2000,3,0.0,-3467006.1700328365,389.31361283009915,38553727.07856472,35086720.90853188
2000,4,0.0,-996445.894228564,353.94521593536365,35051194.73407906,34054748.8398505
2000,5,0.0,-6877671.036703052,325.41067113438584,32225418.762438234,25347747.72573518
2000,6,0.0,-7956617.720895143,280.5830991328575,27786144.30712688,19829526.58623174
2000,7,0.0,-996402.6022029875,254.077636408322,25161308.33351613,24164905.73131314
2000,8,0.0,-9020446.99952691,217.56992810458206,21545949.980196763,12525502.980669852
2000,9,0.0,-5816455.644730189,246.0483420327997,24366167.311508156,18549711.66677797
2000,10,0.0,-11145202.506938206,341.069322861694,33776095.04299355,22630892.53605535
2000,11,0.0,-2517976.536576648,362.99245442603683,35947142.76181043,33429166.225233782
2000,12,0.0,-1034013.8161685857,389.330065241463,38555356.360862084,37521342.5446935
2001,1,0.0,-2633662.6490284055,374.5342572074353,37090127.49125232,34456464.84222391
2001,2,0.0,-7784925.864175236,323.46420555854786,32032660.276462995,24247734.412287757
2001,3,0.0,-6535019.797656042,361.6151259777579,35810745.925577365,29275726.127921324
2001,4,0.0,-1054452.5382901698,335.5380172288764,33228329.846175633,32173877.307885464
2001,5,0.0,-1019581.8865392763,325.91837731901296,32275696.905901853,31256115.019362576
2001,6,0.0,-1565420.8248983966,281.48567453116135,27875526.34882091,26310105.523922514
2001,7,0.0,-2861396.006793308,251.2867911282571,24884930.925431304,22023534.918637995
2001,8,0.0,-10332386.638172138,216.93498304322145,21483071.37077022,11150684.732598081
2001,9,0.0,-971365.86295053,246.60486683563522,24421279.962732956,23449914.099782426
2001,10,0.0,-1016114.5984177288,342.1583838520797,33883944.752871454,32867830.154453725
2001,11,0.0,-982541.9555267802,363.7163516676677,36018830.30564913,35036288.350122355
2001,12,0.0,-3298924.5100444397,395.6286160012067,39179101.842599496,35880177.332555056
2002,1,0.0,-1719119.6509422725,382.93877805170246,37922427.1904601,36203307.53951783
2002,2,0.0,-3198698.1438337294,323.9990096476274,32085621.925404545,28886923.781570815
2002,3,0.0,-4186400.3729702323,359.46010326513664,35597334.02634648,31410933.65337625
2002,4,0.0,-4979876.017595574,339.3251639165412,33603370.98265508,28623494.965059504
2002,5,0.0,-3268525.8249912076,327.440574100989,32426440.053220943,29157914.228229735
2002,6,0.0,-4885696.435268954,281.06917029225724,27834279.934042234,22948583.49877328
2002,7,0.0,-5253996.763639859,250.5325918910644,24810242.57497211,19556245.811332252
2002,8,0.0,-9643850.944335394,217.24129418419088,21513405.363060426,11869554.418725032
2002,9,0.0,-8870293.832348956,245.56657012833608,24318457.43980912,15448163.607460165
2002,10,0.0,-1021066.5274852208,337.0841458969668,33381442.968176622,32360376.4406914
2002,11,0.0,-7727170.521676576,355.77945384172,35232839.31394553,27505668.792268954
2002,12,0.0,-11979271.171790408,385.3146923722816,38157713.98562705,26178442.81383664
2003,1,0.0,-1286565.4684601726,387.71404114778073,38395321.494864725,37108756.02640455
2003,2,0.0,-3341022.400415742,324.79738072904973,32164684.613597795,28823662.213182054
2003,3,0.0,-8658946.054856984,360.65551815126895,35715715.96252017,27056769.90766318
2003,4,0.0,-1040988.4609840158,334.15736938934117,33091604.290626455,32050615.829642437
