Inputs,Sunrise Wind
FCR,0.0582
Offtake price ($/MWh),83.3
Lease Area Price ($),1903181
Discount rate (%),0.025
# Turbines,102
Turbine Rating (MW),11
Project Capacity (MW),1122
# OSS,1
Substructure type,??
Row spacing (rotor diameters),not used for custom layouts
Turbine spacing (rotor diameters),not used for custom layouts
Depth (m),47.52
Mean wind speed (m/s),8.996010967057243
Distance to landfall (km),169
Distance to port (km),103
Interconnection distance (km),28
# of POIs,??
Export cable type,['HVDC_2000mm_320kV']
Array cable type,"['XLPE_185mm_66kV', 'XLPE_500mm_132kV', 'XLPE_630mm_66kV']"
