Metrics,Sunrise Wind
# Turbines,102.0
Turbine Rating (MW),11.0
Project Capacity (MW),1122.0
# OSS,1.0
Total Export Cable Length (km),394.09504
Total Array Cable Length (km),296.39299729360744
FCR (%),0.0582
Offtake Price ($/MWh),83.3
CapEx ($),3751881179.4307714
CapEx per kW ($/kW),3343.9226198135216
System CapEx for Export Cables ($),197047520.0
Installation CapEx for Export Cables ($),11797577.524956502
CapEx Without Export Cables ($),3543036081.9058146
OpEx ($),1537556762.7669709
OpEx per kW ($/kW),1370.3714463163733
Annual OpEx per kW ($/kW),65.25578315792254
Energy Availability (%),0.9434073589219593
Gross Capacity Factor (%),0.5207476927122886
Net Capacity Factor Without Unmodeled Losses (%),0.49123377907787635
Annual Losses (MWh),802540.0394635373
AEP (MWh),4319749.706814261
AEP per kW (MWh/kW),3.8500443019734947
Net Capacity Factor With All Losses (%),0.43915900980665473
LCOE ($/MWh),67.49846475736958
IRR (%),0.004216594115440397
NPV ($),-1746744672.3226461
