year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-609425520.0,-0.0,0.0,0.0,-609425520.0
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-188593861.8550228,-0.0,0.0,0.0,-188593861.8550228
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-175305566.6050228,-0.0,0.0,0.0,-175305566.6050228
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-188593861.8550228,-0.0,0.0,0.0,-188593861.8550228
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-175305566.6050228,-0.0,0.0,0.0,-175305566.6050228
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-188593861.8550228,-0.0,0.0,0.0,-188593861.8550228
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-175305566.6050228,-0.0,0.0,0.0,-175305566.6050228
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-188593861.8550228,-0.0,0.0,0.0,-188593861.8550228
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-175305566.6050228,-0.0,0.0,0.0,-175305566.6050228
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-198724915.7677149,-0.0,0.0,0.0,-198724915.7677149
1998,2,-14683265.480270991,-0.0,0.0,0.0,-14683265.480270991
1998,3,-11504241.421700433,-0.0,0.0,0.0,-11504241.421700433
1998,4,-186438877.9737624,-0.0,0.0,0.0,-186438877.9737624
1998,5,-18592313.143884156,-0.0,0.0,0.0,-18592313.143884156
1998,6,-26584966.683440156,-0.0,0.0,0.0,-26584966.683440156
1998,7,-202104824.68143153,-0.0,0.0,0.0,-202104824.68143153
1998,8,-26730986.984991558,-0.0,0.0,0.0,-26730986.984991558
1998,9,-22486515.67465911,-0.0,0.0,0.0,-22486515.67465911
1998,10,-196354670.68053275,-0.0,0.0,0.0,-196354670.68053278
1998,11,-20313226.696313366,-0.0,0.0,0.0,-20313226.696313366
1998,12,-20987935.69892551,-0.0,0.0,0.0,-20987935.69892551
1999,1,-192906095.57282528,-0.0,0.0,0.0,-192906095.57282528
1999,2,-6804561.890410959,-0.0,0.0,0.0,-6804561.890410959
1999,3,-7688724.164383562,-0.0,0.0,0.0,-7688724.164383562
1999,4,-182684487.3447488,-0.0,0.0,0.0,-182684487.34474882
1999,5,-656202.5205478586,-0.0,0.0,0.0,-656202.5205478586
1999,6,0.0,0.0,0.0,0.0,0.0
1999,7,-175305566.6050228,-0.0,0.0,0.0,-175305566.6050228
1999,8,0.0,0.0,0.0,0.0,0.0
1999,9,0.0,0.0,0.0,0.0,0.0
1999,10,-175305566.6050228,-0.0,0.0,0.0,-175305566.6050228
1999,11,0.0,0.0,0.0,0.0,0.0
1999,12,0.0,0.0,0.0,0.0,0.0
2000,1,0.0,-1030659.7848398354,504.6534622780069,42037633.407757975,41006973.62291814
2000,2,0.0,-978572.3225305617,444.8726064610714,37057888.118207246,36079315.795676686
2000,3,0.0,-2099483.185941756,499.9662009971419,41647184.54306192,39547701.357120164
2000,4,0.0,-11262530.48987604,448.2292792099176,37337498.958186135,26074968.468310095
2000,5,0.0,-2019526.7030274407,415.44461528331954,34606536.45310052,32587009.750073075
2000,6,0.0,-9165691.514203511,352.68285013382194,29378481.416147366,20212789.901943855
2000,7,0.0,-3011160.010323117,317.21067652267817,26423649.35433909,23412489.34401597
2000,8,0.0,-2798814.1446056897,277.5561849732824,23120430.208274428,20321616.06366874
2000,9,0.0,-4834230.344703627,313.7572273502907,26135977.038279213,21301746.693575587
2000,10,0.0,-5480200.546095002,436.6094756957382,36369569.32545499,30889368.779359985
2000,11,0.0,-6568893.666607516,458.662929366938,38206622.016265936,31637728.349658422
2000,12,0.0,-11759470.913210459,496.08747172492144,41324086.394685954,29564615.481475495
2001,1,0.0,-3645080.1203139136,484.22964235305864,40336329.20800978,36691249.08769587
2001,2,0.0,-2733632.3798259073,425.16352906450925,35416121.97107362,32682489.59124771
2001,3,0.0,-7202243.555810377,472.4050708140053,39351342.39880664,32149098.842996262
2001,4,0.0,-3164815.992713208,434.52252623755993,36195726.43558874,33030910.44287553
2001,5,0.0,-3128367.423200181,397.87025977786914,33142592.639496498,30014225.216296315
2001,6,0.0,-9254377.92845292,349.52956509070526,29115812.772055745,19861434.843602825
2001,7,0.0,-1886981.513240484,319.45145976856037,26610306.598721076,24723325.085480593
2001,8,0.0,-6858925.455365547,273.8572090856936,22812305.51683828,15953380.061472733
2001,9,0.0,-6242181.224163787,313.85859981538164,26144421.36462129,19902240.140457503
2001,10,0.0,-1029666.6650156097,433.8000648192379,36135545.399442516,35105878.73442691
2001,11,0.0,-9905668.589229232,460.245009004517,38338409.250076264,28432740.66084703
2001,12,0.0,-10497151.348585889,497.25069802723704,41420983.14566884,30923831.797082953
2002,1,0.0,-2502163.264761082,493.66493623613064,41122289.188469686,38620125.9237086
2002,2,0.0,-5580599.959961352,420.5264087262034,35029849.84689274,29449249.886931386
2002,3,0.0,-13223548.910034234,466.10684359680965,38826700.07161424,25603151.16158001
2002,4,0.0,-3880763.320864264,430.85337745303974,35890086.34183821,32009323.020973947
2002,5,0.0,-11141561.275865234,392.6206219882173,32705297.8116185,21563736.535753265
2002,6,0.0,-3408427.1541380943,341.8886286291442,28479322.76480771,25070895.610669613
2002,7,0.0,-9501964.722698288,316.48867541832885,26363506.66234679,16861541.9396485
2002,8,0.0,-1720635.5457807276,278.1657274812307,23171205.099186514,21450569.553405784
2002,9,0.0,-964061.944049947,318.01800513937854,26490899.828110233,25526837.884060286
2002,10,0.0,-3689380.0778402286,432.519663644914,36028887.98162133,32339507.903781105
2002,11,0.0,-12326739.811964266,460.71165024747637,38377280.46561478,26050540.653650515
2002,12,0.0,-3662354.81016502,501.376632361605,41764673.475721695,38102318.66555668
2003,1,0.0,-8881745.143617703,492.64336327928504,41037192.16116444,32155447.017546736
2003,2,0.0,-7341911.993990728,422.1887041867692,35168319.05875787,27826407.064767145
2003,3,0.0,-1121453.5505223884,475.06956725690617,39573294.95250028,38451841.4019779
2003,4,0.0,-2663189.5908340653,434.72605990217073,36212680.78985082,33549491.199016757
2003,5,0.0,-8985533.840049557,394.27042829970003,32842726.677365012,23857192.837315455
2003,6,0.0,-5570366.012861681,340.27380393127027,28344807.867474813,22774441.854613133
2003,7,0.0,-10316110.892470371,314.84978039357475,26226986.706784774,15910875.814314403
2003,8,0.0,-1028082.7165694354,276.1755454977849,23005422.939965483,21977340.223396048
2003,9,0.0,-10069330.830723759,309.2660901315392,25761865.307957217,15692534.477233458
2003,10,0.0,-5573540.827995226,431.5456111152696,35947749.40590195,30374208.577906728
2003,11,0.0,-10829969.65762354,451.59609853966435,37617955.00835404,26787985.350730497
2003,12,0.0,-10810750.262759598,493.30085727086913,41091961.410663396,30281211.1479038
2004,1,0.0,-10932533.660865337,499.69983398967656,41624996.171340056,30692462.51047472
2004,2,0.0,-10005017.209301505,428.10922664311107,35661498.579371154,25656481.37006965
2004,3,0.0,-14438955.77376188,465.0583055308535,38739356.85072009,24300401.076958213
2004,4,0.0,-14317686.521487558,426.1004268665121,35494165.557980455,21176479.0364929
2004,5,0.0,-12188730.071483571,389.2567186423452,32425084.662907355,20236354.591423783
2004,6,0.0,-4169618.0484308824,340.76715951864065,28385904.387902766,24216286.339471884
2004,7,0.0,-7244308.733390473,307.7329942338383,25634158.419678733,18389849.68628826
2004,8,0.0,-1010746.5994717714,278.2146583962517,23175281.04440777,22164534.444936
2004,9,0.0,-2039670.237666779,313.54774831512395,26118527.434649825,24078857.196983047
2004,10,0.0,-6702392.929401314,434.57952519532284,36200474.4487704,29498081.51936908
2004,11,0.0,-968373.952019925,460.84479054113984,38388371.05207695,37419997.10005703
2004,12,0.0,-10133601.616601825,498.5194688137609,41526671.75218628,31393070.13558446
2005,1,0.0,-11635881.947772885,500.50201077648364,41691817.49768108,30055935.5499082
2005,2,0.0,-4066334.4903543275,440.0985331008206,36660207.807298355,32593873.316944025
2005,3,0.0,-9487659.470339838,468.19117893640555,39000325.20540258,29512665.735062744
2005,4,0.0,-1046069.9500574453,433.25157361432605,36089856.08207336,35043786.13201591
2005,5,0.0,-3695176.242463705,394.69840832562943,32878377.41352493,29183201.171061225
2005,6,0.0,-10091791.577931814,338.4500516183577,28192889.299809195,18101097.72187738
2005,7,0.0,-2911262.704830093,304.35183263010396,25352507.65808766,22441244.95325757
2005,8,0.0,-1395449.0831935727,277.0016033915329,23074233.56251469,21678784.479321115
2005,9,0.0,-6989496.064386706,308.4563015537691,25694409.919428963,18704913.855042256
2005,10,0.0,-2080687.2152135633,428.2156329439364,35670362.2242299,33589675.009016335
2005,11,0.0,-1881245.416380672,465.55036056500836,38780345.0350652,36899099.61868452
2005,12,0.0,-6354743.583366723,497.6549403613488,41454656.53210035,35099912.94873363
2006,1,0.0,-11135756.207941487,500.51543261779244,41692935.53706211,30557179.32912062
2006,2,0.0,-2578046.7822617674,439.01876604018105,36570263.21114708,33992216.42888531
2006,3,0.0,-9429682.647276316,477.6832103732783,39791011.42409408,30361328.776817765
2006,4,0.0,-7161877.154382721,427.1472525754019,35581366.13953098,28419488.98514826
2006,5,0.0,-3398593.156068424,391.9484017565908,32649301.866324008,29250708.710255582
2006,6,0.0,-3290504.549957898,337.35150782149236,28101380.601530313,24810876.051572416
2006,7,0.0,-5332630.166652698,303.4069506404297,25273798.988347795,19941168.821695097
2006,8,0.0,-9834793.517293863,269.13781533654344,22419180.017534066,12584386.500240203
2006,9,0.0,-4526233.333291931,312.8193749003665,26057853.929200526,21531620.595908597
2006,10,0.0,-10624794.9963562,424.04709657153654,35323123.14440899,24698328.148052793
2006,11,0.0,-1419904.2271565888,460.1787596360132,38332890.6776799,36912986.45052331
2006,12,0.0,-11746754.077720877,498.0608178044997,41488466.123114824,29741712.045393948
2007,1,0.0,-9269909.050420621,501.0437849297368,41736947.28464707,32467038.23422645
