year,month,CapEx ($),OpEx ($),Energy Production (GWh),Revenue ($),Cash Flow ($)
1995,1,-928803600.0,-0.0,0.0,0.0,-928803600.0
1995,2,0.0,0.0,0.0,0.0,0.0
1995,3,0.0,0.0,0.0,0.0,0.0
1995,4,0.0,0.0,0.0,0.0,0.0
1995,5,0.0,0.0,0.0,0.0,0.0
1995,6,0.0,0.0,0.0,0.0,0.0
1995,7,0.0,0.0,0.0,0.0,0.0
1995,8,0.0,0.0,0.0,0.0,0.0
1995,9,0.0,0.0,0.0,0.0,0.0
1995,10,0.0,0.0,0.0,0.0,0.0
1995,11,0.0,0.0,0.0,0.0,0.0
1995,12,0.0,0.0,0.0,0.0,0.0
1996,1,-253037193.84327912,-0.0,0.0,0.0,-253037193.84327912
1996,2,0.0,0.0,0.0,0.0,0.0
1996,3,0.0,0.0,0.0,0.0,0.0
1996,4,-237586310.09327912,-0.0,0.0,0.0,-237586310.09327912
1996,5,0.0,0.0,0.0,0.0,0.0
1996,6,0.0,0.0,0.0,0.0,0.0
1996,7,-253037193.84327912,-0.0,0.0,0.0,-253037193.84327912
1996,8,0.0,0.0,0.0,0.0,0.0
1996,9,0.0,0.0,0.0,0.0,0.0
1996,10,-237586310.09327912,-0.0,0.0,0.0,-237586310.09327912
1996,11,0.0,0.0,0.0,0.0,0.0
1996,12,0.0,0.0,0.0,0.0,0.0
1997,1,-253037193.84327912,-0.0,0.0,0.0,-253037193.84327912
1997,2,0.0,0.0,0.0,0.0,0.0
1997,3,0.0,0.0,0.0,0.0,0.0
1997,4,-237586310.09327912,-0.0,0.0,0.0,-237586310.09327912
1997,5,0.0,0.0,0.0,0.0,0.0
1997,6,0.0,0.0,0.0,0.0,0.0
1997,7,-253037193.84327912,-0.0,0.0,0.0,-253037193.84327912
1997,8,0.0,0.0,0.0,0.0,0.0
1997,9,0.0,0.0,0.0,0.0,0.0
1997,10,-237586310.09327912,-0.0,0.0,0.0,-237586310.09327912
1997,11,0.0,0.0,0.0,0.0,0.0
1997,12,0.0,0.0,0.0,0.0,0.0
1998,1,-274888685.92694753,-0.0,0.0,0.0,-274888685.92694753
1998,2,-15496560.090463262,-0.0,0.0,0.0,-15496560.090463262
1998,3,-15227044.05702513,-0.0,0.0,0.0,-15227044.05702513
1998,4,-248854473.4033641,-0.0,0.0,0.0,-248854473.4033641
1998,5,-11387376.330077203,-0.0,0.0,0.0,-11387376.330077203
1998,6,-11201414.75918535,-0.0,0.0,0.0,-11201414.75918535
1998,7,-249056090.2695373,-0.0,0.0,0.0,-249056090.2695373
1998,8,-13958615.423764829,-0.0,0.0,0.0,-13958615.423764829
1998,9,-18507869.701353803,-0.0,0.0,0.0,-18507869.701353803
1998,10,-263618348.64508483,-0.0,0.0,0.0,-263618348.64508483
1998,11,-24776550.112088352,-0.0,0.0,0.0,-24776550.112088352
1998,12,-21015260.687550046,-0.0,0.0,0.0,-21015260.687550046
1999,1,-258660287.68012908,-0.0,0.0,0.0,-258660287.68012908
1999,2,-18759406.966332316,-0.0,0.0,0.0,-18759406.966332316
1999,3,-21170402.586849965,-0.0,0.0,0.0,-21170402.586849965
1999,4,-256501459.47945932,-0.0,0.0,0.0,-256501459.47945932
1999,5,-15098277.523166485,-0.0,0.0,0.0,-15098277.523166485
1999,6,-14903610.573151335,-0.0,0.0,0.0,-14903610.573151335
